 	value1	value2	value3	value4
1	204.267	204.933	199	212.667
2	211.867	211.533	212.267	212.800
3	210.400	208.600	212.267	213.200
4	210.133	202.733	212.200	212.533
5	205.933	188.000	211.933	210.867
6	202.600	175.400	211.000	208.600
7	203.533	175.400	211.267	208.467
8	209.467	188.133	211.533	210.800
9	214.133	204.733	214.800	215.533
10	216.600	213.133	216.867	216.800
11	218	216.133	217.400	216.867
12	218.200	217.933	217.800	217.467
13	218.667	218.267	217.933	217.000
14	218.533	217.733	218.067	216.667
15	218.333	217.733	217.933	216.667
16	217.200	217.867	217.667	215.800
17	216.267	215.667	216.933	215.267
18	213.933	213.200	215.733	213.800
19	209.333	208.667	213.467	211.467
20	203.133	202.867	209.000	207.933
21	199.533	198.533	203.867	203.933
22	198.333	197.400	200	200.533
23	198.867	197.467	196.333	198.400
24	199.733	197.800	188.267	195.933
25	200.867	199.400	179	192.533
26	201.667	200.733	174.600	190.867
27	203.133	201.800	170.400	189.600
28	203.533	202.867	169.467	189.733
29	204.533	203.467	174.867	195.733
30	205.333	204.200	188.600	202.800
31	206.333	205.067	200.667	204.933
32	206.467	205.400	203.733	206
33	206.800	205.667	204.800	206.733
34	207.067	205.400	205.333	206.933
35	207.533	206	205.600	207.000
36	206.933	206.600	206.467	207.600
37	207.000	205.733	206.333	208.133
38	207	205.933	206.267	207.667
39	207.133	206.333	206.067	207.333
40	0	0	205.800	207.600
41	0	0	205.400	207.467
