 	value1	value2	value3	value4
1	146.133	145.733	147.800	149.067
2	147.333	146.933	148.267	149.000
3	149.067	148.533	148.267	149.000
4	149.867	149.733	149.267	150.067
5	150.067	150.067	149.667	149.667
6	149.667	149.067	149.333	148.600
7	146.600	147.600	148.333	147.600
8	141.400	144.600	146.867	144.067
9	133.800	138.533	143.467	140.067
10	123	128.733	137.933	137.867
11	115.400	121.933	125.933	134.667
12	114.800	119.933	121.600	132.733
13	116.267	118.933	120.800	129.933
14	118.267	117.933	120.933	130.267
15	119.333	119.267	121.533	130.467
16	118.733	121.867	121.667	132.200
17	115.867	123.200	122.667	132.000
18	112.267	121.200	123.067	129.533
19	110.867	118.867	121.467	128.133
20	109.267	117.067	119.733	128.600
21	109.267	116.800	117.733	128.200
22	109.667	116.200	115.200	128.333
23	108.800	115.000	113.800	129.733
24	107.600	114.400	112.000	128.800
25	107.133	111.533	111.000	128.800
26	107.533	110.733	111.400	128.400
27	110.067	110.667	111.800	129.800
28	115.467	114.867	113.133	132.267
29	112.133	117.467	116.533	135.067
30	104.133	115.267	115.467	118.667
31	103.200	114.667	106.267	88.067
32	104.200	115.667	103.667	81.867
33	111.800	117.200	105.267	80.867
34	121.600	123.000	107.133	91.600
35	124.000	124.600	117.733	120.000
36	119.400	123.400	123.600	131.200
37	112.400	118.533	124.000	130.600
38	107.400	113.533	121.933	128.400
39	103.467	108.800	116.933	127.200
40	0	0	114.400	125.667
41	0	0	110.800	123.667
